species,nseqs,RangeSize_km2,RangeSize_percentile
Tamias_quadrivittatus,8,296955.8418,
Artibeus_fraterculus,2,302111.0455,
Rhinolophus_celebensis,5,308233.8239,
Praomys_derooi,7,311592.0524,
Neotoma_magister,30,313401.8785,
Episoriculus_caudatus,6,315678.1592,
Mandrillus_sphinx,3,324897.0441,
Reithrodontomys_sumichrasti,6,328552.0151,
Laephotis_botswanae,5,330930.8292,
Ailurus_fulgens,7,338845.6891,
Praomys_verschureni,3,339834.9251,
Sigmodon_arizonae,7,345231.1859,
Apodemus_ponticus,8,347729.9152,
Rhinolophus_arcuatus,12,352720.8782,
Ochotona_roylei,10,361315.0674,
Rattus_leucopus,2,365109.419,
Apodemus_argenteus,34,366528.0899,
Apodemus_speciosus,129,368742.8718,
Crocidura_obscurior,15,372947.0625,
Parascaptor_leucura,6,373620.8662,
Episoriculus_macrurus,6,375478.792,
Peromyscus_polionotus,12,376307.0649,
Hylobates_agilis,4,385727.6189,
Dipodomys_microps,2,392309.4276,
Sciurus_variegatoides,3,392633.3241,
Oecomys_paricola,12,392838.7306,
Pseudantechinus_roryi,6,397632.3294,
Myoictis_melas,2,398588.6883,
Dicrostonyx_richardsoni,2,405394.5326,
Sigmodon_toltecus,24,416841.0386,
Chodsigoa_hypsibia,3,423790.1659,
Acomys_johannis,3,426072.957,
Calomyscus_baluchi,7,426531.7153,
Chiromyscus_chiropus,2,426710.9073,
Jaculus_orientalis,40,434164.5598,
Sorex_volnuchini,10,435340.2244,
Blarinella_griselda,2,439060.7775,
Aethomys_ineptus,15,440331.9962,
Vampyressa_melissa,2,445311.145,
Sorex_camtschatica,4,446674.7136,
Sigmodon_ochrognathus,2,464610.8704,
Talpa_occidentalis,3,476274.5598,
Hylomyscus_parvus,15,491928.6063,
Peromyscus_melanotis,13,494793.3419,
Spalax_ehrenbergi,7,496764.5752,
Heimyscus_fumosus,7,504706.5125,
Tamiasciurus_douglasii,2,510472.9047,
Transandinomys_talamancae,2,510973.6177,
Corynorhinus_mexicanus,3,514929.0328,
Perognathus_longimembris,11,520472.8456,
Oligoryzomys_stramineus,2,530353.5067,
Reithrodontomys_mexicanus,4,540061.7898,
Handleyomys_rostratus,4,548410.1076,
Nectogale_elegans,4,555512.7875,
Otomys_irroratus,9,555883.6287,
Balionycteris_maculata,3,570366.4497,
Mastomys_huberti,5,578064.3785,
Crocidura_goliath,3,579048.1419,
Chodsigoa_parca,6,583028.2492,
Talpa_levantis,2,585727.6604,
Marmosops_pinheiroi,2,586527.1302,
Ochotona_nubrica,3,589011.5758,
Sus_barbatus,3,590189.2451,
Artibeus_aztecus,4,590448.541,
Tamiops_rodolphii,6,590758.9649,
Otomys_angoniensis,2,595014.2451,
Marmosops_incanus,4,605281.86,
Praomys_rostratus,88,612371.8048,
Sciurus_anomalus,3,614431.9221,
Macaca_radiata,2,622325.899,
Oligoryzomys_longicaudatus,6,629101.6793,
Gracilinanus_microtarsus,7,631981.1464,
Tamias_dorsalis,15,632154.6582,
Niviventer_langbianis,4,632439.4814,
Cavia_tschudii,4,632826.8166,
Neodon_irene,4,635021.5148,
Microtus_guentheri,2,642321.4993,
Berylmys_berdmorei,4,660822.9174,
Sorex_preblei,4,670365.1742,
Nyctomys_sumichrasti,2,673104.8264,
Gorilla_gorilla,3,695615.4328,
Trinomys_iheringi,2,702365.0417,
Apodemus_chevrieri,4,720376.7404,
Rhinolophus_borneensis,2,743699.3579,
Cephalophus_callipygus,4,745834.1441,
Aotus_trivirgatus,2,752039.6156,
Mogera_insularis,3,758788.9141,
Lemmus_lemmus,16,758807.5389,
Oligoryzomys_chacoensis,2,760948.0874,
Sigmodon_hirsutus,30,761227.0549,
Platyrrhinus_dorsalis,2,770793.9033,
Rhinolophus_euryotis,3,771261.3379,
Petaurus_norfolcensis,107,788561.1114,
Kerivoula_papillosa,4,789930.3439,
Apodemus_mystacinus,4,804438.6996,
Neotoma_albigula,2,834317.9925,
Sigmodon_alstoni,2,840151.9537,
Artibeus_toltecus,4,849474.3835,
Microtus_richardsoni,50,859719.9985,
Mus_cookii,2,863047.411,
Bandicota_savilei,2,866565.1636,
Alouatta_belzebul,3,866694.4828,
Kerivoula_intermedia,2,867949.8435,
Tamiops_swinhoei,6,869208.8667,
Chionomys_nivalis,2,890860.1974,
Gerbilliscus_guineae,2,891689.222,
Cephalophus_natalensis,3,897299.2316,
Colomys_goslingi,3,904773.9387,
Vampyressa_brocki,2,924403.2615,
Praomys_tullbergi,21,932839.1113,
Ochotona_collaris,22,946218.1863,
Scotophilus_nux,4,951022.0655,
Lepus_sinensis,3,961639.2882,
Marmosa_paraguayanus,13,963159.9977,
Myotis_pilosus,2,987257.7764,
Myoprocta_acouchy,2,993240.8321,
Euryoryzomys_russatus,3,1009797.25,
Mus_setulosus,16,1012214.394,
Sturnira_oporaphilum,2,1015533.532,
Akodon_montensis,2,1050553.529,
Neotoma_micropus,20,1063787.839,
Alouatta_guariba,12,1076694.635,
Macrotis_lagotis,2,1079779.049,
Monodelphis_adusta,8,1083722.662,
Tamias_amoenus,20,1102179.754,
Marmosops_parvidens,9,1104336.232,
Vampyressa_pusilla,2,1111684.958,
Monodelphis_emiliae,2,1139161.92,
Hylopetes_spadiceus,2,1145157.359,
Chlorocebus_aethiops,6,1146145.938,
Sorex_haydeni,3,1160418.919,
Triaenops_persicus,12,1163359.451,
Monodelphis_glirina,5,1163679.425,
Gerbillus_campestris,2,1164697.048,
Phodopus_sungorus,24,1181812.524,
Oecomys_rutilus,2,1186671.638,
Anourosorex_squamipes,2,1188959.447,
Monodelphis_kunsi,3,1203736.044,
Kerivoula_pellucida,2,1213324.317,
Gazella_leptoceros,2,1227640.177,
Cephalophus_leucogaster,2,1246209.112,
Monodelphis_americana,6,1246640.015,
Philantomba_maxwellii,2,1252675.371,
Mastomys_coucha,14,1271254.038,
Suncus_stoliczkanus,2,1280280.063,
Otonycteris_hemprichii,2,1283183.555,
Maxomys_whiteheadi,2,1321685.969,
Hylomyscus_stella,3,1325629.125,
Corynorhinus_rafinesquii,35,1333851.64,
Rhinolophus_trifoliatus,3,1344635.484,
Panthera_tigris,27,1350364.485,
Rhinolophus_darlingi,15,1359988.401,
Aselliscus_stoliczkanus,6,1362301.349,
Chiropotes_chiropotes,4,1363869.729,
Macaca_nemestrina,11,1366030.462,
Acomys_wilsoni,10,1372807.886,
Saimiri_boliviensis,3,1373861.071,
Myotis_ciliolabrum,6,1387940.293,
Sooretamys_angouya,3,1388660.059,
Sorex_ugyunak,4,1412887.02,
Microtus_miurus,71,1431384.932,
Didelphis_aurita,2,1447727.622,
Mus_indutus,7,1481733.67,
Cynopterus_horsfieldii,12,1485601.359,
Oryzomys_couesi,25,1491778.845,
Muntiacus_muntjak,2,1494965.687,
Rattus_tiomanicus,10,1495111.927,
Proechimys_guyannensis,3,1497167.476,
Sorex_fumeus,2,1506441.621,
Hylomyscus_alleni,13,1510854.418,
Chlorocebus_sabaeus,37,1517085.986,
Geomys_bursarius,5,1536376.867,
Myotis_ikonnikovi,6,1546130.566,
Vespertilio_sinensis,2,1565757.956,
Crocidura_lasiura,4,1574852.743,
Hipposideros_bicolor,3,1584431.292,
Apodemus_witherbyi,4,1586928.344,
Mastomys_kollmannspergeri,9,1592388.955,
Moschus_berezovskii,4,1605240.715,
Euchoreutes_naso,17,1675132.462,
Aethomys_kaiseri,3,1693323.932,
Zygodontomys_brevicauda,6,1694766.438,
Rattus_argentiventer,13,1705324.017,
Marmota_flaviventris,13,1717933.805,
Tamiops_maritimus,18,1718527.367,
Lasiurus_xanthinus,2,1737197.8,
Rattus_andamanensis,11,1745533.266,
Oryx_gazella,4,1765965.534,
Cynomys_ludovicianus,8,1820846.704,
Monodelphis_brevicaudata,7,1827929.227,
Mus_caroli,36,1840446.083,
Laephotis_wintoni,2,1918120.303,
Galea_musteloides,44,1925425.373,
Monodelphis_dimidiata,4,1931182.522,
Artibeus_jamaicensis,94,1932106.844,
Pteropus_vampyrus,3,1940597.534,
Microtus_fortis,90,1970772.145,
Sorex_vagrans,4,1983868.594,
Graomys_griseoflavus,18,2012535.42,
Giraffa_camelopardalis,12,2016065.722,
Dasyprocta_leporina,28,2022290.926,
Calomys_musculinus,34,2024418.252,
Nycticebus_bengalensis,2,2048319.335,
Phodopus_campbelli,51,2050011.217,
Leopoldamys_edwardsi,55,2061692.717,
Gerbilliscus_brantsii,2,2084270.203,
Loxodonta_africana,462,2111058.132,
Lemmus_amurensis,3,2122980.578,
