,ranges
Amolops_kangtingensis,11601.42274
Amolops_kaulbacki,255.3412042
Amolops_larutensis,104870.5661
Amolops_liangshanensis,1663.586988
Amolops_lifanensis,14824.3298
Amolops_loloensis,34357.2985
Amolops_longimanus,464.9215773
Amolops_mantzorum,95380.48108
Amolops_marmoratus,292824.5309
Amolops_medogensis,55.79620654
Amolops_mengyangensis,5969.526233
Amolops_minutus,153.3876748
Amolops_monticola,51899.13075
Amolops_nepalicus,1.598516437
Amolops_panhai,23891.39298
Amolops_ricketti,820800.9889
Amolops_spinapectoralis,3161.163075
Amolops_splendissimus,153.3876748
Amolops_torrentis,13821.0115
Amolops_tuberodepressus,7054.941074
Amolops_viridimaculatus,10981.98995
Amolops_vitreus,98.8215853
Amolops_wuyiensis,102745.1309
Amphiuma_means,491479.8721
Amphiuma_pholeter,52177.18682
Amphiuma_tridactylum,477336.1894
Anaxyrus_americanus,5225390.019
Anaxyrus_baxteri,105.5660973
Anaxyrus_boreas,2853153.279
Anaxyrus_californicus,57759.4736
Anaxyrus_canorus,10315.37104
Anaxyrus_cognatus,2795204.285
Anaxyrus_compactilis,314828.886
Anaxyrus_debilis,1460787.516
Anaxyrus_exsul,104.5084267
Anaxyrus_fowleri,1991764.314
Anaxyrus_hemiophrys,1401049.666
Anaxyrus_houstonensis,23539.55524
Anaxyrus_kelloggi,108677.5322
Anaxyrus_mexicanus,154964.9716
Anaxyrus_microscaphus,242190.7741
Anaxyrus_nelsoni,76.39435051
Anaxyrus_punctatus,2436545.055
Anaxyrus_quercicus,450928.2405
Anaxyrus_retiformis,52086.99183
Anaxyrus_speciosus,1063761.445
Anaxyrus_terrestris,545692.5639
Anaxyrus_woodhousii,3242483.11
Andinobates_abditus,7.253158452
Andinobates_altobueyensis,89.69924291
Andinobates_bombetes,496.0043579
Andinobates_claudiae,69.39947476
Andinobates_daleswansoni,594.8943856
Andinobates_dorisswansonae,32.45511078
Andinobates_fulguritus,39912.70807
Andinobates_minutus,55430.27338
Andinobates_opisthomelas,3457.160879
Andinobates_tolimensis,28.71225675
Andinobates_viridis,4943.945
Andinobates_virolinensis,2462.896577
Andinophryne_atelopoides,130.7917131
Andinophryne_colomai,74.86516617
Andinophryne_olallai,28.91173648
Andrias_davidianus,486172.6378
Andrias_japonicus,57085.88945
Aneides_aeneus,174759.7637
Aneides_ferreus,120363.8854
Aneides_flavipunctatus,47734.83685
Aneides_hardii,29604.31737
Aneides_lugubris,107934.5652
Aneides_vagrans,52040.62223
Anhydrophryne_hewitti,43053.89325
Anhydrophryne_ngongoniensis,1759.248307
Anhydrophryne_rattrayi,4627.388618
Anodonthyla_boulengerii,80638.3677
Anodonthyla_emilei,405.2871889
Anodonthyla_hutchisoni,429.5766296
Anodonthyla_jeanbai,12.64674042
Anodonthyla_montana,553.2938398
Anodonthyla_moramora,10.59995546
Anodonthyla_nigrigularis,2963.112499
Anodonthyla_pollicaris,745.2665948
