,ranges
Avahi_cleesei,2581.012242
Avahi_laniger,50685.47884
Avahi_meridionalis,1562.641606
Avahi_mooreorum,1988.843496
Avahi_occidentalis,3056.537815
Avahi_peyrierasi,4374.321708
Avahi_ramanantsoavanai,5832.063942
Avahi_unicolor,779.7216605
Axis_axis,2361083.4
Axis_calamianensis,1345.322127
Axis_kuhlii,63.79777108
Axis_porcinus,361276.8643
Babyrousa_babyrussa,13191.94528
Babyrousa_celebensis,135894.26
Babyrousa_togeanensis,532.7172788
Baiomys_musculus,450187.8904
Baiomys_taylori,1275232.76
Baiyankamys_habbema,777.7898642
Baiyankamys_shawmayeri,65472.19986
Balantiopteryx_infusca,2841.656561
Balantiopteryx_io,170582.1418
Balantiopteryx_plicata,833094.1324
Balionycteris_maculata,570366.4497
Bandicota_bengalensis,3982575.584
Bandicota_indica,5375812.176
Bandicota_savilei,866565.1636
Barbastella_barbastellus,3802954.75
Barbastella_leucomelas,3926552.914
Bassaricyon_alleni,915192.3119
Bassaricyon_beddardi,484831.8013
Bassaricyon_gabbii,798552.1426
Bassaricyon_lasius,3818.128342
Bassaricyon_pauli,1393.809663
Bassariscus_astutus,3903675.622
Bassariscus_sumichrasti,622169.5543
Bathyergus_janetta,12035.23925
Bathyergus_suillus,39219.77603
Batomys_dentatus,453.8706481
Batomys_granti,6578.101172
Batomys_russatus,826.357337
Batomys_salomonseni,16015.54177
Bauerus_dubiaquercus,254463.7553
Bdeogale_crassicauda,1473215.822
Bdeogale_jacksoni,63953.04302
Bdeogale_nigripes,2110583.059
Bdeogale_omnivora,34425.63545
Beamys_hindei,337354.8387
Beatragus_hunteri,10578.25184
Belomys_pearsonii,525696.0384
Berylmys_berdmorei,660822.9174
Berylmys_bowersi,2558037.195
Berylmys_mackenziei,101487.0094
Berylmys_manipulus,214081.909
Bettongia_gaimardi,29084.87481
Bettongia_lesueur,979.8180302
Bettongia_penicillata,4058.256779
Bettongia_tropica,396.7833071
Bibimys_chacoensis,27944.42905
Bibimys_labiosus,361605.0677
Bibimys_torresi,4381.173516
Bison_bison,195312.354
Bison_bonasus,5715.013147
Biswamoyopterus_biswasi,4038.889616
Blanfordimys_afghanus,409982.9891
Blanfordimys_bucharensis,116178.6129
Blarina_brevicauda,4106775.423
Blarina_carolinensis,866096.0272
Blarina_hylophaga,728070.3712
Blarinella_griselda,439060.7775
Blarinella_quadraticauda,17607.18264
Blarinella_wardi,114888.3894
Blarinomys_breviceps,437137.2761
Blastocerus_dichotomus,4098629.573
Bos_gaurus,1370059.961
Bos_javanicus,183345.586
Bos_mutus,469487.5238
Bos_sauveli,35806.97034
Boselaphus_tragocamelus,2289572.863
Brachiones_przewalskii,861693.1825
Brachylagus_idahoensis,506497.4282
Brachyphylla_cavernarum,14907.71167
Brachyphylla_nana,195038.6858
Brachytarsomys_albicauda,64732.83655
Brachytarsomys_villosa,601.5647708
Brachyteles_arachnoides,86276.35814
Brachyteles_hypoxanthus,96657.52548
Brachyuromys_betsileoensis,42770.221
Brachyuromys_ramirohitra,58423.5897
Bradypus_pygmaeus,3.412967424
Bradypus_torquatus,75453.76812
Bradypus_tridactylus,1042603.677
Bradypus_variegatus,9792447.024
Brucepattersonius_albinasus,312.0779062
Brucepattersonius_griserufescens,12637.10915
Brucepattersonius_guarani,1540.060435
Brucepattersonius_igniventris,13350.77118
Brucepattersonius_iheringi,178516.217
Brucepattersonius_misionensis,1517.222276
Brucepattersonius_paradisus,1223.809988
Brucepattersonius_soricinus,15508.21748
Bubalus_arnee,13690.47321
Bubalus_depressicornis,107060.3311
Bubalus_mindorensis,617.2252816
Bubalus_quarlesi,70021.78304
Budorcas_taxicolor,440392.3615
Bullimus_bagobus,118864.0521
Bullimus_gamay,253.010051
Bullimus_luzonicus,38307.37235
Bunolagus_monticularis,78512.21407
Bunomys_andrewsi,117011.3404
Bunomys_chrysocomus,169337.7527
Bunomys_coelestis,133.4771287
Bunomys_fratrorum,15987.0004
Bunomys_penitus,20441.95328
Bunomys_prolatus,782.2242622
Burramys_parvus,1197.75207
Cabassous_centralis,753495.5581
Cabassous_chacoensis,478769.2252
Cabassous_tatouay,2538418.474
Cabassous_unicinctus,9760605.363
Cacajao_ayresi,6367.175679
Cacajao_calvus,182017.6536
Cacajao_hosomi,69745.48769
Caenolestes_caniventer,19664.02092
Caenolestes_condorensis,78.6828859
Caenolestes_convelatus,22782.18663
Caenolestes_fuliginosus,180936.4659
Calcochloris_obtusirostris,115471.3027
Calcochloris_tytonis,312.2068621
Callibella_humilis,6375.184112
Callicebus_aureipalatii,23152.09874
Callicebus_baptista,14740.98978
Callicebus_barbarabrownae,129711.7473
Callicebus_bernhardi,119557.5629
Callicebus_brunneus,243776.1863
Callicebus_caligatus,73487.24831
Callicebus_caquetensis,1361.193061
Callicebus_cinerascens,210384.2114
Callicebus_coimbrai,38585.37283
Callicebus_cupreus,776065.1761
Callicebus_discolor,231557.9495
Callicebus_donacophilus,163762.039
Callicebus_dubius,122427.0404
Callicebus_hoffmannsi,92127.76598
Callicebus_lucifer,234316.757
Callicebus_lugens,913299.2222
Callicebus_medemi,15663.27108
Callicebus_melanochir,99866.30375
Callicebus_modestus,6540.181054
Callicebus_moloch,944026.6518
Callicebus_nigrifrons,490588.5169
Callicebus_oenanthe,9106.74318
Callicebus_olallae,677.0432681
Callicebus_ornatus,23835.55087
Callicebus_pallescens,417318.2557
