GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
1850,Mastomys_natalensis,0.001936763,16655251.57,perc_90,6
1221,Mastomys_natalensis,0.002631579,16655251.57,perc_90,2
1131,Mastomys_natalensis,0.003738318,16655251.57,perc_90,2
1934,Mastomys_natalensis,0.004286014,16655251.57,perc_90,13
1941,Mastomys_natalensis,0.005484461,16655251.57,perc_90,2
2115,Mastomys_natalensis,0.005861531,16655251.57,perc_90,6
1222,Mastomys_natalensis,0.006018969,16655251.57,perc_90,6
1933,Mastomys_natalensis,0.006051913,16655251.57,perc_90,3
2119,Mastomys_natalensis,0.006140422,16655251.57,perc_90,3
1223,Mastomys_natalensis,0.00618025,16655251.57,perc_90,6
1671,Mastomys_natalensis,0.006877636,16655251.57,perc_90,5
862,Mastomys_natalensis,0.007358781,16655251.57,perc_90,10
2114,Mastomys_natalensis,0.007894737,16655251.57,perc_90,2
1495,Mastomys_natalensis,0.019277155,16655251.57,perc_90,4
2662,Meles_meles,0.000877193,9763858.97,perc_90,2
2806,Mephitis_mephitis,0,12271140.38,perc_90,4
2542,Mephitis_mephitis,0.000583822,12271140.38,perc_90,19
2716,Mephitis_mephitis,0.000907578,12271140.38,perc_90,12
2895,Mephitis_mephitis,0.001848771,12271140.38,perc_90,9
2726,Mephitis_mephitis,0.002995008,12271140.38,perc_90,5
2725,Mephitis_mephitis,0.003133666,12271140.38,perc_90,16
2628,Mephitis_mephitis,0.004159734,12271140.38,perc_90,5
2635,Mephitis_mephitis,0.004284526,12271140.38,perc_90,16
2629,Mephitis_mephitis,0.004359206,12271140.38,perc_90,19
2541,Mephitis_mephitis,0.004986153,12271140.38,perc_90,43
2908,Mephitis_mephitis,0.006180176,12271140.38,perc_90,15
2900,Mephitis_mephitis,0.006544648,12271140.38,perc_90,6
2898,Mephitis_mephitis,0.007210205,12271140.38,perc_90,13
2811,Mephitis_mephitis,0.008042152,12271140.38,perc_90,9
2809,Mephitis_mephitis,0.010301458,12271140.38,perc_90,17
2907,Mephitis_mephitis,0.011980033,12271140.38,perc_90,5
